Branch,Cutoff,Category,College,College Code,Location
EC,20388,3AG,S K S J T Institute of Engineering,E002,Bangalore
ST,,3AG,S K S J T Institute of Engineering,E002,Bangalore
TX,55464,3AG,S K S J T Institute of Engineering,E002,Bangalore
CE,40730,3BG,S K S J T Institute of Engineering,E002,Bangalore
CS,10447,3BG,S K S J T Institute of Engineering,E002,Bangalore
EC,20011,3BG,S K S J T Institute of Engineering,E002,Bangalore
ST,46047,3BG,S K S J T Institute of Engineering,E002,Bangalore
TX,52268,3BG,S K S J T Institute of Engineering,E002,Bangalore
CE,43570,SCG,S K S J T Institute of Engineering,E002,Bangalore
CS,21262,SCG,S K S J T Institute of Engineering,E002,Bangalore
EC,35893,SCG,S K S J T Institute of Engineering,E002,Bangalore
ST,65688,SCG,S K S J T Institute of Engineering,E002,Bangalore
TX,63606,SCG,S K S J T Institute of Engineering,E002,Bangalore
CE,48160,STG,S K S J T Institute of Engineering,E002,Bangalore
CS,12802,STG,S K S J T Institute of Engineering,E002,Bangalore
EC,26342,STG,S K S J T Institute of Engineering,E002,Bangalore
ST,59764,STG,S K S J T Institute of Engineering,E002,Bangalore
TX,,STG,S K S J T Institute of Engineering,E002,Bangalore
CE,44964,GMK,S K S J T Institute of Engineering,E002,Bangalore
CS,12449,GMK,S K S J T Institute of Engineering,E002,Bangalore
EC,20941,GMK,S K S J T Institute of Engineering,E002,Bangalore
ST,54811,GMK,S K S J T Institute of Engineering,E002,Bangalore
TX,,GMK,S K S J T Institute of Engineering,E002,Bangalore
CE,17425,GM,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,1247,GM,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,5621,GM,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,24856,GM,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,10079,GM,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,27146,1G,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,3676,1G,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,7642,1G,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,64261,1G,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,12942,1G,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,29535,2AG,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,3139,2AG,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,12611,2AG,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,45132,2AG,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,27733,2AG,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,25712,2BG,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,5106,2BG,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,14842,2BG,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,34923,2BG,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,15149,2BG,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,18125,3AG,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,1897,3AG,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,6608,3AG,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,25780,3AG,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,14688,3AG,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,21712,3BG,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,1549,3BG,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,8426,3BG,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,30516,3BG,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,15993,3BG,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,35076,GMK,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,6222,GMK,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,20296,GMK,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,37653,GMK,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,34809,GMK,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,29581,SCG,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,18002,SCG,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,23570,SCG,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,68974,SCG,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,47436,SCG,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,22445,STG,B M S College of Engineering Basavanagudi,E003,Bangalore
EC,6968,STG,B M S College of Engineering Basavanagudi,E003,Bangalore
EE,18782,STG,B M S College of Engineering Basavanagudi,E003,Bangalore
IM,53332,STG,B M S College of Engineering Basavanagudi,E003,Bangalore
ME,34112,STG,B M S College of Engineering Basavanagudi,E003,Bangalore
CE,48594,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,5829,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,14320,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,24450,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,42176,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,30910,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,43229,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,62928,GM,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,67654,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,9844,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
